ltable_Beer_Name,rtable_Beer_Name
Deranger Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale
Three Beavers Imperial Red Ale,Howe Sound Three Beavers Imperial Red Ale
Eruption Imperial Red Ale,Worthy Eruption Imperial Red Ale
Lagunitas Imperial Red Ale,Lagunitas Imperial Red Ale
Ale Mania Imperial Red Ale,Ale Mania Imperial Red Ale
Deputation Imperial Red Ale,Brannon_s Deputation Imperial Red Ale
Buffalo Soul Jah Imperial Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale
Stupiphany Imperial Red Ale,Rusty Truck Stupiphany Imperial Red Ale
Barrel Aged Imperial Red Ale,Barley_s Barrel Aged Ulysses Imperial Red Ale
Tongue Buckler - Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale
Rhino Chaser Imperial Red Ale,Pizza Port Rhino Chaser Imperial Red Ale
