Alb-Son,Alb-Art,Alb-Gen,Alb-Pri,Alb-Cop,Alb-Tim,Alb-Rel
7.006336212158203,9.973652839660645,10.084161758422852,7.5326247215271,10.341174125671387,6.719642639160156,10.170820236206055
5.380359649658203,8.95256519317627,9.191263198852539,6.904229164123535,9.408164024353027,5.174199104309082,9.224943161010742
3.577671766281128,5.186012268066406,5.450559139251709,3.875070571899414,5.335811138153076,3.0834741592407227,5.33829927444458
2.0540037155151367,2.9691169261932373,3.0790865421295166,2.437987804412842,3.163681745529175,2.0363049507141113,3.180237293243408
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7702299356460571,1.1009987592697144,1.1336599588394165,0.9280115962028503,1.1697263717651367,0.7741106748580933,1.177281141281128
0.7682609558105469,1.1032512187957764,1.1399916410446167,0.9066377282142639,1.1654558181762695,0.7554684281349182,1.171001672744751
3.5016846656799316,4.776339530944824,4.918191909790039,3.5731899738311768,4.898035526275635,3.0675277709960938,4.8086042404174805
4.637857437133789,6.549881458282471,6.809751033782959,4.883157253265381,6.852097034454346,4.084644317626953,6.696653366088867
3.284829616546631,4.502222061157227,6.226520538330078,3.4488937854766846,4.677440166473389,2.859333038330078,4.5683393478393555
0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.407680034637451,6.093818664550781,6.323298454284668,4.61487340927124,6.272190093994141,3.7580573558807373,6.131354331970215
3.041044235229492,4.29116678237915,4.47326135635376,3.243450880050659,4.420849800109863,2.659003734588623,4.399139881134033
4.231448173522949,6.043586254119873,6.207200050354004,4.910676956176758,6.41740608215332,4.163735389709473,6.421006679534912
4.958003044128418,8.402274131774902,8.728158950805664,6.31299352645874,8.814678192138672,4.401602745056152,8.602130889892578
5.498366832733154,7.88718843460083,8.231955528259277,5.934189319610596,8.263396263122559,4.904702663421631,8.07833194732666
4.345394611358643,6.191237926483154,6.370738506317139,4.697136402130127,6.451990127563477,3.9941177368164062,6.412463188171387
0.7441006898880005,1.0810987949371338,1.1282260417938232,0.8894590735435486,1.1429152488708496,0.7101298570632935,1.1555267572402954
1.5200648307800293,2.2188360691070557,2.315253496170044,1.7804698944091797,2.3262717723846436,1.4113552570343018,2.3464467525482178
3.681217908859253,4.9258270263671875,5.066620349884033,3.813206434249878,5.084224700927734,3.25443696975708,4.975217819213867
2.13346266746521,3.0733134746551514,3.2006795406341553,2.5364556312561035,3.267390251159668,2.0816190242767334,3.2877492904663086
5.578121185302734,7.954619884490967,8.271621704101562,5.866126537322998,8.256183624267578,4.788345813751221,8.048640251159668
2.90775203704834,4.129166603088379,4.299165725708008,3.1349494457244873,4.271174430847168,2.6170732975006104,4.254775524139404
5.709959030151367,8.142170906066895,8.42995548248291,6.31872034072876,8.583683013916016,5.404239654541016,8.438762664794922
3.8649215698242188,5.521159648895264,5.758105754852295,4.18154239654541,5.708941459655762,3.346097707748413,5.632734298706055
4.44636869430542,7.69264554977417,8.017314910888672,5.771696090698242,7.984699249267578,3.9246668815612793,7.850809097290039
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.247190952301025,7.238152503967285,7.441295146942139,5.451103687286377,7.523523807525635,4.693587303161621,7.3224778175354
6.03927755355835,8.61815071105957,8.925765037536621,6.683839797973633,9.12455940246582,5.792251110076904,8.97144889831543
2.7758638858795166,4.0144243240356445,4.153714656829834,3.320643186569214,4.276137828826904,2.74721622467041,4.29157018661499
1.8508912324905396,2.6736488342285156,2.798799753189087,2.094179391860962,2.7450404167175293,1.6323769092559814,2.7561564445495605
